location,fault_strike_min,fault_strike_max,fault_dip_min,fault_dip_max,fault_dip_dir_min,fault_dip_dir_max,fault_name,fault_type,fault_thick_min,fault_thick_max,fault_core_thick_min,fault_core_thick_max,fault_dist_inj,fault_inj_depth_min,fault_inj_depth_max,fault_dens_min,fault_dens_max,fault_poro_min,fault_poro_max,fault_perm_min,fault_perm_max,fault_Kn_min,fault_Kn_max,fault_Ks_min,fault_Ks_max,fault_psi_min,fault_psi_max,fault_E_min,fault_E_max,fault_nu_min,fault_nu_max,fault_phi_min,fault_phi_max
"N201-H18 well pad, Changning shale gas block, Sichuan Province",352,,55,,,,,SS-RF,,,2,,,,,,,,,,,,,,,,,,,,,,
"N201-H24 well pad, Changning shale gas block, Sichuan Province",,N170E,,83,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
"Rongxian County, Sichuan Basin",SE,,,,W,,Molin fault,RF,,,,,0,1000,,,,,,,,,,,,,,,,,,,
"Shuanghe, Changning County, Sichuan",,,,,,,,,,,,,,,,,,,0.15,,1.00E-13,,,,32,,,,,,0.25,,
Weiyuan site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wysin Site (Well 2H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wysin Site (Well 3H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preese Hall (Stage 2),,,,,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,6,23
Preese Hall (Stage 4),,,,,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,6,23
Preston New Road (PNR-1Z),N57E,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,23
Preston New Road (PNR-2),NW-SE,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,23
"Bienville Parish, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carthage, Cotton Valley Field, Panola County, Texas",N78E,N78.6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eagleton 1-29, Wilson, Oklahoma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Panhandle Texas (Cluster C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Edinburg, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eola-Robberson field, Oklahoma",N166E,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,
"Garvin County, Eola field, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hughes County, Oklahoma",N75E,N78E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jonah field, Wyoming",N18W,N64W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poland Township, Ohio",N83E,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ryser wells, Harrison County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Toronto,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFSD-3P,N10E,N30E,38,60,NW,,Anxian-Guanxian fault,RF,140,210,40,50,0,440.5,511.1,2350,2560,0.21,0.41,,,,,,,,,,,,,,
Laboratoire Souterrain Bas Bruit (LSBB),N30E,,70,,,,,,,,,,,,,,,,,7.00E-12,,,,,,,,,,,,,
