sub_class,rock_formation,rock_strat,rock_fr_dens_min,rock_fr_dens_max,rockDensMin,rock_dens_max,rock_poro_min,rock_poro_max,rock_poro_mean,rock_perm_min,rock_perm_max,rock_perm_mean,rock_E_min,rock_E_max,rock_E_mean,rock_nu_min,rock_nu_max,rock_nu_mean,rock_K_min,rock_K_max,rock_G_min,rock_G_min,rock_biot_min,rock_biot_max,rock_phi_min,rock_phi_max,rock_c_min,rock_c_max,rock_ucs_min,rock_ucs_max,rock_T0_min,rock_T0_max,rock_lambda_min,rock_lambda_max,rock_beta_min,rock_beta_max
Geothermal (reinjection),,Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS (injection),,Carbonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS (circulation),,Granodiorite,,,2700,,0.01,,0.01,1.00E-16,,1.00E-16,60,,60,0.25,,0.25,40,,24,,,,,,,,,,,,,3,,
EGS (injection),,Granodiorite,,,2700,,0.01,,0.01,1.00E-16,,1.00E-16,60,,60,0.25,,0.25,40,,24,,,,,,,,,,,,,3,,
EGS (injection),,Granodiorite,,,,,0.03,0.04,0.03,1.00E-15,3.00E-15,2.00E-15,,54,54,,0.25,0.25,,36,,21.6,,,,,,,,,,,,,,
Geothermal (extraction),Lower Viesville formation,Sandstone,,,,,0.2,0.3,0.25,2.00E-13,6.20E-12,3.20E-12,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal (extraction),,Metamorphosed sandstones and shales intruded by dykes, ,,,,0.04,0.35,0.2,1.00E-15,2.00E-14,1.05E-14,,,,0.25,0.35,0.3,,,,,,,,,,,,,,,1.99,4.64,,
EGS (circulation),,Basalt and Andesite,,,2540,,,,,,,,30,,30,0.24,,0.24,19.23,,12.1,,,,,,,,,,,,,,2.10E-05,
Geothermal (reinjection),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal (reinjection),Tahorakuri,Volcaniclastics with andesitic lava,,,2070,2670,0.03,0.2,0.11,3.63E-19,2.43E-16,1.22E-16,17.7,44.3,31,0.19,0.31,0.25,9.52,38.86,7.44,16.91,,,,,,,70,163.4,,,,,,
Geothermal (reinjection),,Volcanics (Andesite),,,2330,2560,0.05,0.2,0.13,9.80E-18,1.66E-16,8.79E-17,19.9,43.7,30.6,0.09,0.34,0.2,8.09,45.52,9.13,16.31,,,,,,,,211,9.9,24.1,,,4.84E-06,1.41E-05
EGS (injection),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS,,Granodiorite with gabbroic dykes,,,,2630,,0.01,0.01,1.00E-16,6.80E-16,3.90E-16,,33.5,33.5,,0.21,0.21,,19.25,,13.84,,,,60.2,,15.2,,106.7,,9.2,,3,,1.70E-15
EGS (injection),Bohus granite,Granite,,,2640,,0.01,,0.01,1.00E-17,,1.00E-17,50,,50,0.15,,0.15,23.81,,21.75,,,,,,,,220,,8.3,,,,,
EGS (injection),Palaeozoic granitic basement,Granite,0.25,0.95,,,,0.1,0.1,1.00E-17,1.00E-15,5.05E-16,39,65,52,0.22,,0.22,23.21,21.67,15.98,32.5,0.2,1,44,55.5,18.2,35.5,117.7,167.3,,,,,,1.00E-05
Geothermal (injection and production),Malm limestone,Carbonate,,,2650,,0.02,0.06,0.04,1.00E-17,5.00E-17,3.00E-17,6,,6,0.25,,0.25,4,,2.4,,0.75,,31,42,20,97,,,,,,,,
EGS (circulation),Carnmenellis granite,Granite,,,,,0,,0,1.00E-18,1.00E-17,5.00E-18,50,70,60,0.18,0.22,0.2,26.04,41.67,21.19,28.69,,,,,,,100,170,9,15,,,,
EGS,Cornubian Batholith,Batholith,,,2700,,0.1,,0.1,1.00E-16,,1.00E-16,25.2,,25.2,0.22,,0.22,15,,10.33,,,,,,3,,,,,,,,,
EGS (stimulation),,"Diorite, Granodiorite and Granite",,,,,,,,,,,65,,65,0.19,,0.19,34.48,,27.5,,,,,,,,,,,,,,,
EGS (injection),,Volcanics and metamorphics,,,,,0.04,0.1,0.07,1.00E-15,,1.00E-15,8.5,38,25,0.13,0.4,0.2,3.83,63.33,3.76,13.57,,,29.3,47.6,10,34.9,82.8,186.2,,,,,,
EGS (injection),,Granite,,,,,0.05,,0.05,1.00E-19,,1.00E-19,37.5,,37.5,0.25,,0.25,25,,15,,0.4,,,,,,,,,,,,,
EGS (injection),Intruded John Day,Volcanics,,,,,0.03,,0.03,5.00E-18,,5.00E-18,15,,15,0.28,,0.28,11.36,,5.86,,0.97,,26.3,45.1,15,27,57,122,,,2.2,,9.00E-07,
EGS (circulation),,"Alter sandstone, siltstone and shale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS (circulation),,Metamorphics and Igneous,,,,,0,,0,2.00E-15,5.00E-14,2.60E-14,24,51,37.5,0.25,,0.25,16,17,9.6,25.5,,,,,,,,,,,3.2,,1.00E-05,
Fracking (injection),Montney Siltstone,Shale,,,,2500,,,0.1,,,1.00E-18,,,47,,,0.26,,,,,,0.8,,,,,,,,,,,,
Fracking (injection),Montney Siltstone,Shale,,,,2500,,,0.1,,,1.00E-18,,,47,,,0.26,,,,,,0.8,,,,,,,,,,,,
Fracking (injection),Montney Trend,Shale,,,2615,2615,0.03,0.06,0.05,9.86E-19,4.93E-17,2.51E-17,,,26.1,,,0.22,,,,,,,,,,,,,,,,,,
Fracking (injection),Montney Trend,"Shale, Siltstone",,,2615,2615,0.03,0.06,,9.86E-19,4.93E-17,2.51E-17,,,26.1,,,0.22,,,,,,,,,,,,,,,,,,
Fracking (injection),Exshaw play,Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fracking (injection),Montney Trend,Shale,,,2615,2615,0.03,0.06,0.05,9.86E-19,4.93E-17,2.51E-17,,,26.1,,,0.22,,,,,,,,,,,,,,,,,,
Fracking (injection),Montney Trend,Shale,,,2615,2615,0.03,0.06,0.05,9.86E-19,4.93E-17,2.51E-17,,,26.1,,,0.22,,,,,,,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2421,2921,0.05,0.06,0.06,1.61E-20,1.97E-20,1.79E-20,50,60,55,0.23,0.27,0.25,30.86,43.48,20.33,23.62,,,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
